Date,Volume_stock,Adj_Close_stock,HiLo_vola_stock,Pct_change_stock,Pct_change_stock_scaled,Favs,RTs,Followers,Following,Is a RT,compound,neg,pos,Compound_multiplied,Compound_multiplied_scaled,Predicted_change_stock,Buy/Sell,KNN,LogReg,SVM linear,Decision Tree,Random Forest,KNN(Multiple Input),LogReg(Multiple Input),SVM linear(Multiple Input),Decision Tree(Multiple Input),Random Forest(Multiple Input)
2016-04-11 00:00:00,7932300,37.50248718,2.346513883,-0.154682578,0.188558538,1.857142857,1.153846154,2212.644444,571.0676329,0.026666667,0.08878227,0.455608864,0.544391134,0.466220119,-0.015210966,0.953114206,1,1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-12 00:00:00,6426000,37.94791031,1.765583344,0.953114206,0.818903323,1.142857143,1.235294118,911.6651376,323.734375,0.041284404,0.048179312,0.475910344,0.524089656,90.98926144,-0.012873813,1.628497206,1,1,-1,-1,1,1,1,-1,-1,1,1
2016-04-13 00:00:00,12493500,38.67414093,2.895989167,1.628497206,1.203201381,2.25,1.5,1644.397351,540.4140625,0.046357616,0.025737073,0.487131464,0.512868536,-252.9168938,-0.02175289,2.05750623,1,1,-1,-1,-1,-1,-1,-1,-1,-1,1
2016-04-14 00:00:00,10133400,39.86515045,3.536923432,2.05750623,1.447310774,2.833333333,3.032258065,4507.077465,1610.398496,0.147887324,-0.110595723,0.555297859,0.444702137,-808.9064828,-0.036107604,-0.944308467,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-15 00:00:00,6982200,39.61339569,1.615613553,-0.944308467,-0.260744591,6.8,5.947368421,3094.561798,1195.13253,0.168539326,0.090289329,0.454855334,0.545144664,950.0225387,0.009304977,-0.839998857,-1,-1,-1,-1,-1,-1,1,-1,-1,-1,1
2016-04-16 00:00:00,6403366.667,39.61662292,1.766909126,-0.839998857,-0.20139163,1,1,708.5428571,363.5588235,0.114285714,-0.097002846,0.548501425,0.451498578,-248.0996841,-0.021628518,-0.735689247,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-17 00:00:00,5824533.333,39.61985016,1.9182047,-0.735689247,-0.14203867,1.865524286,1,1183,925,0.071428571,-0.095642234,0.547821118,0.452178882,122.8429249,-0.012051405,-0.631379636,-1,1,-1,-1,-1,-1,1,-1,-1,-1,-1
2016-04-18 00:00:00,5245700,39.62307739,2.069500273,-0.631379636,-0.082685709,10.125,25.83561644,3346.964789,1541.014925,0.429577465,-0.135573923,0.567786964,0.432213041,-800.4335544,-0.035888847,0.853863039,1,-1,-1,-1,1,1,-1,-1,-1,1,-1
2016-04-19 00:00:00,6650200,40.0297699,1.973523962,0.853863039,0.762428655,3.25,14.8125,3672.159091,3385.325,0.272727273,-0.061960436,0.530980217,0.469019784,-1186.60577,-0.045859162,-0.241785027,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-20 00:00:00,5018200,39.95230103,1.501787028,-0.241785027,0.138996583,1,5.375,1470.378378,1038.015152,0.135135135,0.000321174,0.49983941,0.500160585,7.079092964,-0.015040232,-1.93627679,-1,1,-1,-1,-1,-1,1,-1,-1,1,-1
2016-04-21 00:00:00,10782600,38.74192429,2.916739653,-1.93627679,-0.825182101,1.6,5.611111111,7539.992537,614.379845,0.082089552,-0.047423796,0.523711898,0.476288102,-735.2936865,-0.034207045,1.40657849,1,1,-1,-1,1,1,-1,-1,-1,-1,-1
2016-04-22 00:00:00,20939500,36.99896622,4.000120836,1.40657849,1.076927945,2.620689655,5.774774775,17216.16949,1004.140299,0.206214689,0.084825066,0.457587468,0.542412533,9675.509663,0.234582337,-0.075558306,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-23 00:00:00,18183033.33,36.60841751,4.043725605,-0.075558306,0.23358085,1,1.833333333,2815.46875,1007.166667,0.0625,-0.157749715,0.578874864,0.421125145,-475.406919,-0.027497207,-1.557695102,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
2016-04-24 00:00:00,15426566.67,36.2178688,4.087330374,-1.557695102,-0.609766245,1,1.857142857,2184.972973,1283.257143,0.108108108,-0.258298259,0.62914913,0.37085087,-810.2154044,-0.036141398,-3.039831897,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
